location,total_sqft,bath,price,bhk,price_per_sqft
TC Palaya,1475.0,3.0,98.0,3,6644.067796610169
other,950.0,2.0,47.0,2,4947.368421052632
Singasandra,1010.0,2.0,29.5,2,2920.792079207921
Kalena Agrahara,1425.0,2.0,70.0,3,4912.2807017543855
Vijayanagar,1450.0,3.0,100.0,3,6896.551724137931
Kothanur,1847.0,3.0,105.0,3,5684.89442338928
AECS Layout,1100.0,2.0,45.0,2,4090.909090909091
Mallasandra,1665.0,3.0,95.0,3,5705.705705705705
JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
Panathur,1438.0,2.0,100.0,2,6954.102920723227
other,1560.0,3.0,115.0,3,7371.794871794872
Yelahanka,1350.0,2.0,55.55,2,4114.814814814815
Kanakpura Road,1550.0,3.0,67.0,3,4322.580645161291
Malleshpalya,1140.0,2.0,46.5,2,4078.9473684210525
Whitefield,1280.0,2.0,75.0,2,5859.375
Munnekollal,1170.0,2.0,52.0,2,4444.444444444444
other,1113.0,2.0,51.0,2,4582.210242587601
Hennur Road,1385.0,2.0,83.09,2,5999.27797833935
Electronic City,1128.0,2.0,65.0,2,5762.41134751773
Haralur Road,1464.0,3.0,56.0,3,3825.136612021858
other,1200.0,2.0,55.0,2,4583.333333333333
Kaval Byrasandra,1200.0,2.0,52.0,2,4333.333333333333
other,1645.0,3.0,95.0,3,5775.075987841945
Sarjapur  Road,1000.0,2.0,67.0,2,6700.0
6th Phase JP Nagar,1192.0,2.0,74.0,2,6208.053691275168
Whitefield,1173.0,2.0,58.0,2,4944.58653026428
Uttarahalli,1020.0,2.0,45.0,2,4411.764705882353
Somasundara Palya,1600.0,3.0,64.0,3,4000.0
other,1200.0,2.0,79.0,2,6583.333333333333
other,1230.0,2.0,48.0,2,3902.439024390244
 Devarachikkanahalli,1250.0,2.0,40.0,2,3200.0
Kalena Agrahara,1325.0,2.0,76.0,2,5735.8490566037735
7th Phase JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
Basaveshwara Nagar,1200.0,2.0,65.0,2,5416.666666666667
Ardendale,1100.0,2.0,43.25,2,3931.818181818182
Harlur,1508.0,2.0,77.0,2,5106.100795755968
other,1592.0,3.0,75.0,3,4711.05527638191
Akshaya Nagar,1388.0,2.0,57.0,2,4106.628242074928
other,1762.0,3.0,125.0,3,7094.211123723042
other,950.0,2.0,50.0,2,5263.1578947368425
other,1116.0,2.0,50.0,2,4480.286738351255
Narayanapura,1308.0,2.0,89.04,2,6807.339449541284
Hennur,1075.0,2.0,52.0,2,4837.209302325581
Bellandur,1205.0,2.0,66.0,2,5477.178423236514
5th Phase JP Nagar,1075.0,2.0,60.0,2,5581.395348837209
KR Puram,930.0,2.0,39.0,2,4193.548387096775
Balagere,1380.0,2.0,60.0,2,4347.826086956522
other,1166.0,2.0,55.0,2,4716.981132075472
Bannerghatta Road,1050.0,2.0,65.0,2,6190.476190476191
Begur Road,1200.0,2.0,46.8,2,3900.0
Lakshminarayana Pura,1600.0,2.0,108.0,3,6750.0
Billekahalli,1935.0,3.0,110.0,3,5684.754521963824
Electronic City,1800.0,3.0,95.0,3,5277.777777777777
Jalahalli,1400.0,3.0,77.0,3,5500.0
Hegde Nagar,1801.0,3.0,115.0,3,6385.341476957246
Mahadevpura,1451.0,2.0,90.0,2,6202.618883528601
Begur Road,1160.0,2.0,44.0,2,3793.103448275862
Kanakpura Road,950.0,2.0,40.0,2,4210.526315789473
other,1629.0,3.0,79.0,3,4849.600982197668
Vijayanagar,1826.0,3.0,121.0,3,6626.506024096386
7th Phase JP Nagar,1245.0,2.0,94.0,2,7550.2008032128515
Raja Rajeshwari Nagar,1145.0,2.0,45.79,2,3999.126637554585
Yeshwanthpur,1693.0,3.0,108.0,3,6379.208505611341
Electronics City Phase 1,1113.27,2.0,53.0,2,4760.74986301616
other,1460.0,2.0,58.0,2,3972.6027397260273
Doddathoguru,1050.0,2.0,32.0,2,3047.6190476190477
Dodda Nekkundi,1260.0,2.0,55.0,2,4365.079365079365
Battarahalli,1200.0,2.0,65.0,2,5416.666666666667
7th Phase JP Nagar,1175.0,2.0,82.0,2,6978.723404255319
other,1185.0,2.0,38.0,2,3206.7510548523205
Kanakpura Road,1550.0,3.0,64.5,3,4161.290322580645
other,1760.0,3.0,88.0,3,5000.0
Billekahalli,1125.0,2.0,62.0,2,5511.111111111111
Anandapura,1000.0,2.0,55.0,2,5500.0
Bommasandra Industrial Area,1090.0,2.0,31.48,2,2888.0733944954127
TC Palaya,1200.0,2.0,60.0,2,5000.0
Ambalipura,1105.0,2.0,75.0,2,6787.330316742082
Hoodi,985.0,2.0,67.0,2,6802.030456852792
Balagere,1590.0,3.0,79.0,3,4968.553459119496
CV Raman Nagar,1120.0,2.0,55.0,2,4910.714285714285
other,1069.0,2.0,55.0,2,5144.9953227315245
Marathahalli,1933.0,3.0,140.0,3,7242.628039317124
Hosur Road,1194.0,2.0,69.0,2,5778.894472361809
Brookefield,1150.0,2.0,69.0,2,6000.0
Yelenahalli,1240.0,2.0,47.12,2,3800.0
Raja Rajeshwari Nagar,1419.0,2.0,48.1,2,3389.7110641296686
other,1450.0,3.0,55.0,3,3793.103448275862
other,1630.0,3.0,68.29,3,4189.57055214724
Bellandur,1250.0,2.0,76.0,2,6080.0
Ardendale,1750.0,3.0,100.0,3,5714.285714285715
Vittasandra,1404.0,2.0,71.0,2,5056.980056980057
Hoodi,1715.0,2.0,95.0,3,5539.35860058309
Harlur,1752.12,3.0,135.0,3,7704.951715635916
Hulimavu,1650.0,3.0,78.0,3,4727.272727272727
Raja Rajeshwari Nagar,1295.0,2.0,55.47,2,4283.397683397683
Sarjapur  Road,1346.0,2.0,74.03,2,5500.0
Hormavu,1150.0,2.0,55.0,2,4782.608695652174
AECS Layout,1620.0,3.0,98.0,3,6049.382716049383
Marathahalli,950.0,2.0,46.96,2,4943.1578947368425
Padmanabhanagar,1020.0,2.0,63.0,2,6176.470588235294
Chikkalasandra,1100.0,2.0,50.0,2,4545.454545454545
Ambalipura,1800.0,3.0,110.0,3,6111.111111111111
Akshaya Nagar,1070.0,2.0,54.0,2,5046.728971962617
Vidyaranyapura,1440.0,2.0,95.0,2,6597.222222222223
Amruthahalli,900.0,2.0,40.0,2,4444.444444444444
Whitefield,1130.0,2.0,42.16,2,3730.973451327434
other,1270.0,2.0,98.0,2,7716.535433070866
other,1200.0,2.0,62.0,2,5166.666666666667
other,1200.0,2.0,74.0,2,6166.666666666667
Subramanyapura,929.0,2.0,50.17,2,5400.4305705059205
other,1464.0,3.0,56.0,3,3825.136612021858
Chikkalasandra,1208.0,2.0,49.0,2,4056.291390728477
Hebbal Kempapura,1130.0,2.0,60.0,2,5309.734513274337
other,1753.0,3.0,120.0,3,6845.407872219053
Hoodi,1196.0,2.0,94.42,2,7894.648829431439
Electronic City,1128.0,2.0,63.0,2,5585.106382978724
other,1000.0,2.0,53.0,2,5300.0
Yelahanka,1035.0,2.0,45.0,2,4347.826086956522
other,950.0,2.0,32.0,2,3368.4210526315787
Whitefield,1040.0,2.0,48.5,2,4663.461538461538
Lingadheeranahalli,1511.0,3.0,95.0,3,6287.22700198544
Hoodi,1545.0,3.0,68.75,3,4449.838187702266
Vidyaranyapura,1062.0,2.0,38.0,2,3578.154425612053
other,1115.0,2.0,40.0,2,3587.4439461883408
JP Nagar,1000.0,2.0,35.0,2,3500.0
Sarjapur  Road,1195.0,2.0,70.0,2,5857.740585774059
Vittasandra,1246.0,2.0,67.0,2,5377.2070626003215
Begur Road,1584.0,3.0,65.0,3,4103.535353535353
other,1595.0,3.0,115.0,3,7210.031347962383
other,1353.0,2.0,110.0,2,8130.081300813008
Electronic City,1599.0,3.0,125.0,3,7817.385866166354
Whitefield,1150.0,2.0,70.0,2,6086.95652173913
KR Puram,1155.0,2.0,42.74,2,3700.4329004329006
Ramagondanahalli,1251.0,2.0,47.0,2,3756.994404476419
other,1028.0,2.0,45.5,2,4426.070038910506
Arekere,1222.0,2.0,45.0,2,3682.4877250409168
HSR Layout,1372.0,2.0,68.0,2,4956.268221574344
Kanakpura Road,1135.0,2.0,39.73,2,3500.440528634361
Whitefield,1768.0,3.0,101.0,3,5712.669683257918
Electronic City,1599.0,3.0,99.0,3,6191.369606003753
Whitefield,1500.0,3.0,61.95,3,4130.0
Uttarahalli,1286.0,2.0,63.0,2,4898.9113530326595
Hennur Road,1317.5,2.0,63.77,2,4840.2277039848195
Munnekollal,1102.0,2.0,53.67,2,4870.235934664247
Yelahanka,1350.0,2.0,54.0,2,4000.0
other,950.0,2.0,40.0,2,4210.526315789473
other,1056.0,2.0,80.0,2,7575.757575757576
other,1080.0,2.0,50.0,2,4629.62962962963
Electronics City Phase 1,1490.0,3.0,84.0,3,5637.583892617449
Sarjapur  Road,1550.0,3.0,100.0,3,6451.612903225807
other,1160.0,2.0,55.0,2,4741.379310344828
Vittasandra,1404.0,2.0,69.3,2,4935.897435897436
other,1544.0,3.0,120.0,3,7772.020725388601
Marathahalli,1230.0,2.0,80.0,2,6504.065040650406
other,1200.0,2.0,65.0,2,5416.666666666667
Harlur,1460.0,3.0,73.0,3,5000.0
Gottigere,967.0,2.0,45.0,2,4653.567735263702
Mysore Road,1020.0,2.0,48.95,2,4799.019607843137
Jigani,1020.0,2.0,40.0,2,3921.5686274509803
Koramangala,1253.0,2.0,102.0,2,8140.462889066241
other,1180.0,2.0,42.0,2,3559.322033898305
other,961.0,2.0,38.0,2,3954.2143600416234
Kanakapura,1419.0,3.0,75.0,3,5285.412262156448
HSR Layout,1430.0,2.0,65.0,3,4545.454545454545
other,1260.0,2.0,45.0,2,3571.4285714285716
other,1630.0,3.0,85.0,3,5214.7239263803685
Kalena Agrahara,1450.0,2.0,85.0,3,5862.068965517241
Arekere,2060.0,3.0,140.0,3,6796.116504854369
Raja Rajeshwari Nagar,1133.0,2.0,49.07,2,4330.979699911739
Vidyaranyapura,1200.0,2.0,55.0,2,4583.333333333333
Thanisandra,1075.0,2.0,45.8,2,4260.46511627907
Kaggadasapura,1140.0,2.0,40.0,2,3508.7719298245615
Raja Rajeshwari Nagar,1090.0,2.0,42.0,2,3853.211009174312
Whitefield,1790.0,3.0,100.0,3,5586.592178770949
Hebbal,1920.0,3.0,134.0,3,6979.166666666667
HRBR Layout,1374.0,2.0,95.0,2,6914.1193595342065
Bannerghatta Road,1445.0,3.0,95.0,3,6574.39446366782
Tumkur Road,1500.0,3.0,95.0,3,6333.333333333333
Whitefield,1720.0,3.0,100.0,3,5813.953488372093
Vasanthapura,1400.0,3.0,60.0,3,4285.714285714285
Kundalahalli,1030.0,2.0,49.0,2,4757.281553398058
Mysore Road,1200.0,2.0,85.0,2,7083.333333333333
other,1375.0,3.0,70.0,3,5090.909090909091
Bellandur,1000.0,2.0,50.0,2,5000.0
other,1820.0,2.0,86.0,3,4725.274725274725
Singasandra,1440.0,2.0,65.0,3,4513.888888888889
Mahadevpura,1225.0,2.0,48.0,2,3918.3673469387754
6th Phase JP Nagar,1180.0,2.0,80.0,2,6779.661016949152
Haralur Road,1194.0,2.0,47.0,2,3936.348408710218
Hennur Road,1500.0,2.0,62.0,3,4133.333333333333
other,1160.0,2.0,52.2,2,4500.0
Sarjapur,1128.0,2.0,60.0,2,5319.148936170212
Sarjapur  Road,1210.0,2.0,58.0,2,4793.388429752066
other,1641.0,3.0,66.0,3,4021.9378427787933
Horamavu Agara,1200.0,2.0,45.0,2,3750.0
Raja Rajeshwari Nagar,1260.0,2.0,67.39,2,5348.412698412699
Mahadevpura,1720.0,3.0,78.0,3,4534.883720930233
Yelahanka,1132.5,2.0,48.13,2,4249.889624724062
Yelahanka,1210.0,2.0,45.98,2,3800.0
Thanisandra,1702.0,3.0,130.0,3,7638.07285546416
Raja Rajeshwari Nagar,1141.0,2.0,38.55,2,3378.6152497808935
other,2072.0,3.0,108.0,3,5212.355212355213
other,1350.0,3.0,77.0,3,5703.7037037037035
Marathahalli,1019.0,2.0,49.85,2,4892.051030421982
Whitefield,1140.0,2.0,56.0,2,4912.2807017543855
Lingadheeranahalli,1683.0,3.0,109.0,3,6476.5300059417705
Kaggadasapura,1515.0,3.0,83.3,3,5498.349834983498
other,1083.0,2.0,61.75,2,5701.754385964912
other,1240.0,2.0,60.0,2,4838.709677419355
other,1750.0,3.0,120.0,3,6857.142857142857
other,1230.0,2.0,43.48,2,3534.959349593496
Abbigere,985.0,2.0,40.39,2,4100.507614213198
other,1500.0,2.0,87.0,3,5800.0
Electronic City,1125.0,2.0,32.49,2,2888.0
other,950.0,2.0,44.0,2,4631.578947368421
Kothanur,1580.0,3.0,76.0,3,4810.126582278481
other,1045.0,2.0,45.0,2,4306.2200956937795
Hebbal,1337.0,2.0,82.0,2,6133.1338818249815
Chandapura,1200.0,2.0,32.0,2,2666.6666666666665
other,1570.0,3.0,62.0,3,3949.044585987261
Gubbalala,1470.0,2.0,82.0,3,5578.231292517007
Kengeri,1160.0,2.0,40.61,2,3500.862068965517
7th Phase JP Nagar,1050.0,2.0,71.0,2,6761.9047619047615
Bannerghatta Road,1460.0,2.0,90.0,3,6164.3835616438355
Hulimavu,1823.0,3.0,100.0,3,5485.463521667581
Electronic City,1094.0,2.0,42.0,2,3839.1224862888484
Budigere,1153.0,2.0,57.0,2,4943.625325238509
other,1202.0,2.0,48.0,2,3993.3444259567386
Haralur Road,1202.0,2.0,53.0,2,4409.317803660566
other,1200.0,2.0,62.5,2,5208.333333333333
Panathur,1688.0,3.0,118.0,3,6990.521327014218
Kaval Byrasandra,1020.0,2.0,52.0,2,5098.0392156862745
Sarjapur,1185.0,2.0,47.0,2,3966.2447257383965
Ramagondanahalli,1235.0,2.0,52.04,2,4213.765182186235
Banashankari,1077.0,2.0,37.64,2,3494.8932219127205
Kengeri Satellite Town,1415.0,2.0,66.0,3,4664.310954063604
Whitefield,1155.0,2.0,59.95,2,5190.476190476191
other,1100.0,2.0,48.0,2,4363.636363636364
Mahadevpura,1150.0,2.0,52.0,2,4521.739130434783
Hegde Nagar,1341.0,2.0,97.0,2,7233.407904548844
Jakkur,1279.0,2.0,77.0,2,6020.3283815480845
Thanisandra,1185.0,2.0,43.51,2,3671.7299578059074
other,1750.0,3.0,85.0,3,4857.142857142857
Kudlu,1152.0,2.0,53.5,2,4644.097222222223
Hulimavu,1300.0,2.0,36.0,2,2769.230769230769
5th Phase JP Nagar,1070.0,2.0,39.0,2,3644.8598130841124
Uttarahalli,1101.0,2.0,45.0,2,4087.193460490463
Electronic City,1070.0,2.0,55.0,2,5140.186915887851
Koramangala,1750.0,3.0,130.0,3,7428.571428571428
Marathahalli,1215.0,2.0,67.0,2,5514.40329218107
other,1177.5,2.0,59.935,2,5090.0212314225055
Battarahalli,1779.0,3.0,89.61,3,5037.099494097808
other,1105.0,2.0,58.0,2,5248.868778280543
Whitefield,1650.0,3.0,60.0,3,3636.3636363636365
Kaggadasapura,1185.0,2.0,41.0,2,3459.915611814346
HSR Layout,1475.0,3.0,75.0,3,5084.745762711865
Gottigere,1618.0,3.0,82.5,3,5098.887515451174
Koramangala,1120.0,2.0,65.0,2,5803.571428571428
Bannerghatta Road,1556.0,2.0,59.13,3,3800.1285347043704
Bannerghatta Road,1179.0,2.0,66.02,2,5599.660729431722
Thanisandra,1296.0,2.0,83.0,2,6404.320987654321
Kaggadasapura,1275.0,2.0,52.0,2,4078.4313725490197
Kathriguppe,1400.0,2.0,77.0,3,5500.0
Gottigere,1222.0,2.0,63.0,2,5155.482815057283
Electronic City,940.0,2.0,41.0,2,4361.702127659574
Thanisandra,1185.0,2.0,42.6,2,3594.9367088607596
Tumkur Road,1779.0,3.0,112.0,3,6295.6717256885895
Begur Road,1615.0,3.0,59.76,3,3700.30959752322
Haralur Road,1056.0,2.0,61.0,2,5776.515151515152
7th Phase JP Nagar,1100.0,2.0,46.0,2,4181.818181818182
Arekere,920.0,2.0,40.0,2,4347.826086956522
other,1602.0,2.0,75.0,3,4681.647940074907
Padmanabhanagar,1176.0,2.0,62.0,2,5272.108843537415
Kasavanhalli,1717.0,3.0,99.0,3,5765.87070471753
Vittasandra,1246.0,2.0,67.3,2,5401.284109149277
Anandapura,1141.0,2.0,42.79,2,3750.219106047327
Hennur Road,1157.0,2.0,84.0,2,7260.155574762316
Hebbal,1349.0,2.0,98.0,2,7264.6404744255005
Narayanapura,1566.0,3.0,83.3,3,5319.284802043423
other,1780.0,3.0,84.83,3,4765.730337078651
Varthur,1091.0,2.0,34.9,2,3198.9000916590285
7th Phase JP Nagar,918.0,2.0,50.49,2,5500.0
Panathur,1695.0,3.0,90.0,3,5309.734513274337
Yelahanka,1705.0,3.0,95.0,3,5571.847507331378
Kalyan nagar,1375.0,3.0,75.0,3,5454.545454545455
Whitefield,1447.0,2.0,83.0,2,5736.005528680028
Thanisandra,1114.0,2.0,39.0,2,3500.8976660682224
Vasanthapura,1022.0,2.0,40.0,2,3913.894324853229
Hebbal,1000.0,2.0,45.0,2,4500.0
Electronic City,1128.0,2.0,68.75,2,6094.858156028369
Kanakpura Road,1180.0,2.0,57.0,2,4830.5084745762715
Kanakpura Road,1339.0,2.0,75.0,2,5601.194921583271
Yelachenahalli,1400.0,2.0,55.0,3,3928.5714285714284
7th Phase JP Nagar,1040.0,2.0,39.52,2,3800.0000000000005
Kadugodi,1198.0,2.0,58.0,2,4841.402337228715
Sarjapur  Road,1691.0,3.0,113.0,3,6682.436428149024
Bannerghatta Road,1122.5,2.0,58.935,2,5250.334075723831
Mallasandra,1665.0,3.0,86.58,3,5200.0
Brookefield,1142.0,2.0,70.0,2,6129.5971978984235
Kothannur,1853.0,3.0,82.0,3,4425.256341068538
Kasturi Nagar,1567.0,2.0,92.0,2,5871.091257179323
Electronics City Phase 1,1175.0,2.0,51.47,2,4380.425531914893
Subramanyapura,1200.0,2.0,52.0,2,4333.333333333333
Kodichikkanahalli,995.0,2.0,41.0,2,4120.603015075377
Yeshwanthpur,1170.0,2.0,57.0,2,4871.794871794872
KR Puram,1225.0,2.0,46.55,2,3800.0
Electronic City,1342.0,2.0,73.3,2,5461.997019374068
Uttarahalli,1345.0,2.0,67.0,2,4981.412639405205
Raja Rajeshwari Nagar,1140.0,2.0,49.39,2,4332.456140350877
Battarahalli,1300.0,2.0,50.0,2,3846.153846153846
Hosa Road,1652.0,3.0,85.0,3,5145.2784503631965
Arekere,1740.0,2.0,95.0,3,5459.770114942528
Electronic City,1360.0,2.0,71.0,3,5220.588235294118
Sarjapur  Road,1278.0,2.0,95.0,2,7433.489827856025
Gunjur,1356.0,2.0,66.0,3,4867.256637168141
